period,start_number,name
48,11,Vindälva
48,27,Kyoung-Sook
24,17,Bon-Bon
24,8,Zingara
24,18,Storslam
24,36,Spindrifter
24,29,Habibi
24,12,Amina
24,37,Hafsorkestern
24,3,Merano
24,30,Cenita
24,38,Malin
24,32,Pingvin
24,39,Elvström 717
24,33,Johanna II
24,20,Wight Colt
24,24,Ellen
24,19,Cool Runnings
24,26,Smeralda
24,22,Lisa
24,41,Min Vila
24,7,Kronkvist IV
24,28,SeaMore
24,31,Haffsårkestern
24,16,Far Out
12,4,Diana
12,34,Madame H
12,15,Andiamo
