11,555,546,547,522,965,966,959,962,550,559,558,568,555,,,,
27,555,546,547,522,964,522,547,546,545,521,520,521,545,568,555,,
17,555,521,520,518,515,514,515,518,519,544,552,540,552,,,,
8,580,579,566,577,545,521,522,547,545,521,544,554,552,539,551,542,552
18,540,552,521,545,521,544,519,520,519,542,538,551,552,,,,
36,555,546,547,522,519,518,520,521,555,,,,,,,,
29,555,556,557,559,550,549,548,546,555,,,,,,,,
12,555,546,547,522,520,547,521,555,,,,,,,,,
37,537,538,551,553,546,521,519,518,515,514,537,,,,,,
3,555,545,521,520,518,516,518,542,551,539,551,552,,,,,
30,537,538,551,552,554,553,545,521,519,520,518,515,514,536,537,,
38,555,546,547,522,520,521,555,,,,,,,,,,
32,555,521,520,518,515,514,513,514,515,518,543,544,553,555,,,
39,555,545,521,519,518,515,536,537,538,551,554,552,,,,,
33,555,545,546,547,522,520,519,544,553,555,,,,,,,
20,458,457,455,469,456,512,467,455,530,512,530,456,457,458,,,
24,555,546,547,522,564,549,548,546,545,553,555,,,,,,
19,540,552,551,542,517,518,516,515,514,536,537,551,552,,,,
26,580,579,567,558,559,549,559,560,558,557,567,579,580,,,,
22,580,579,571,569,558,559,557,567,568,566,579,580,,,,,
41,533,532,531,530,469,464,469,530,531,532,,533,534,,533,,
7,569,558,548,547,521,545,556,557,558,569,,,,,,,
28,540,551,537,536,535,534,535,536,537,538,540,,,,,,
31,555,545,521,552,539,552,553,577,555,,,,,,,,
16,580,579,566,577,545,555,545,555,577,578,580,,,,,,
4,537,541,518,517,519,542,552,,,,,,,,,,
34,537,527,536,541,542,544,554,552,,,,,,,,,
15,580,579,566,567,568,566,579,581,580,,,,,,,,
