24,580,579,566,577,546,553,552,551,537,536,535,534,533,532,529,456,455,452,450,449,448,446,445,463,468,469,512,513,532,533,534,535,536,537,538,551,553,568,558,559,560,561,562,591,590,587,586,561,560,559,558,568,567,579,580
3,537,536,535,534,533,532,529,456,455,452,450,449,448,446,445,443,416,414,412,410,408,406,404,402,400,393,387,385,381,379,384,520,521,546,547,557,559,548,557,556,553,552,551,538,537,,,,,,,,,,
27,533,534,535,536,537,538,551,552,544,521,522,564,549,559,570,560,561,586,587,590,588,586,561,560,559,557,556,553,544,543,517,515,514,513,533,534,533,,,,,,,,,,,,,,,,,,
17,555,546,545,543,542,541,536,535,534,533,531,530,469,464,462,418,462,464,469,530,531,533,534,535,536,537,551,545,568,556,565,553,554,552,551,552,,,,,,,,,,,,,,,,,,,
21,537,536,535,534,533,532,456,455,452,450,449,448,446,445,444,441,440,439,440,441,444,445,446,448,449,450,452,455,456,531,513,514,515,542,553,552,,,,,,,,,,,,,,,,,,,
22,458,457,456,512,413,411,407,411,413,512,515,514,513,531,530,532,533,532,529,456,457,459,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,569,560,561,562,561,560,559,557,556,548,549,559,558,570,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,555,556,557,559,560,561,560,559,546,547,546,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,555,556,557,559,548,556,547,521,545,577,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,569,558,559,549,522,549,548,557,559,560,558,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,540,552,553,556,557,559,557,556,553,552,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,540,551,542,519,517,541,535,536,537,538,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,555,556,557,559,560,561,560,559,557,556,553,554,552,554,553,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,555,568,558,559,560,559,546,553,577,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,555,556,557,559,557,546,547,520,521,545,553,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,540,552,553,556,557,556,553,552,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,588,590,591,590,589,587,586,562,586,562,587,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,555,556,557,559,557,546,521,519,544,553,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,569,560,561,560,559,557,556,557,558,570,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,555,568,558,559,557,556,553,554,553,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,555,553,544,543,517,518,519,543,544,553,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,537,538,551,553,556,553,554,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,537,551,553,577,553,552,551,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,580,582,583,570,569,568,566,579,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,540,552,544,521,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,555,546,547,546,521,545,577,545,521,553,555,553,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,555,521,520,519,543,542,551,554,553,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,555,568,557,546,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
