name,latitude,longitude
317,56.233666667,16.099166667
321,56-01-01,16.419666667
322,56.069833333,16.680166667
327,56.373166667,16.257333333
328,56.368666667,16.610666667
329,56.479,16.252
330,56.543666667,16.3435
332,56.6275,16.3575
333,56.679166667,16.395
336,56.764166667,16.495833333
338,56.819833333,16.8895
339,56.873,16.5985
341,56.928333333,16-06-01
342,56.998333333,16.596666667
344,57.057,16.690666667
345,57.0705,16.8505
347,57.125833333,16.548833333
348,57.148166667,16.631166667
350,57.195,16.886666667
351,57.253166667,16.779666667
353,57.266666667,16.4875
354,57.273333333,16.655833333
356,57.295166667,17.1945
357,57.329166667,16.745833333
359,57.329166667,17
360,57.349166667,16.6125
363,57.375833333,17.101833333
364,57.416666667,16.762333333
366,57.472,16.848333333
367,57.4805,17.156
369,57.511666667,16.771666667
370,57.543,16.702166667
372,57.549166667,17.471166667
373,57.575833333,16.5525
375,57.5925,16.8475
376,57.598333333,16.651666667
378,57.600833333,16.745
379,57.647166667,16.819166667
381,57.661666667,16.759166667
384,57.685,16.906
385,57.714166667,16.755833333
387,57.7465,16.824833333
388,57.756666667,16.678333333
391,57.801666667,16.646666667
393,57.840833333,16.823333333
396,57.868833333,16.735666667
397,57.88,16.633333333
400,57.943,16.8175
401,58.006333333,16.913333333
402,58.006333333,16.813833333
403,58.103833333,16.778333333
404,58.083333333,16.855333333
406,58.125166667,16.897
407,58.135666667,16.97
408,58.1695,16.918833333
409,58.211166667,17.061666667
410,58.271,16.920166667
411,58.229333333,17.177
412,58.3125,16.971166667
413,58.291833333,17.195
414,58.401666667,16.941666667
415,58.378166667,17.1655
416,58.479833333,16.961166667
418,58.444,17.103333333
419,58.192833333,16.867666667
420,58.420833333,16.764833333
421,58.471,17.220333333
422,58.137666667,16.715333333
423,58.258333333,16.856333333
425,58.318,16.835
427,58.274333333,17.018333333
429,58.324166667,17-07-01
431,58.341666667,16.922833333
433,58.401833333,17.009333333
438,58.636,16.325
439,58.654333333,16.456166667
440,58.635833333,16.587833333
441,58.605833333,16.7775
442,58.559166667,16.9085
443,58.553,17.0425
444,58.620333333,16.9875
445,58.6295,17-01-01
446,58.656166667,17.121333333
447,58.674,17.2005
448,58.7005,17.2245
449,58.720833333,17.316166667
450,58.751666667,17.413666667
451,58.786333333,17.396666667
452,58.767166667,17.5015
453,58.856333333,17.503666667
454,58.7955,17.6125
455,58.786,17.698333333
456,58.784166667,17.773666667
457,58.830333333,17.723166667
458,58.865666667,17.666666667
459,58.870333333,17.592333333
460,58.906,17.715166667
461,58.964333333,17.7215
462,58.531666667,17.331166667
463,58.607666667,17.289
464,58.594166667,17.466833333
465,58.662666667,17.3555
466,58.708833333,17.450166667
467,58.729166667,17.590833333
468,58.638,17.498
469,58.64,17.635666667
490,56.987833333,18.435666667
491,57.114,18.568833333
492,57.275,18.806333333
493,57.451833333,19.044333333
494,57.681666667,18.923333333
496,57.802,19.189666667
497,57.823333333,19.108333333
499,57.959166667,19.421666667
500,56.889166667,18.123666667
501,57.115166667,18.105666667
502,57.290166667,17.9425
504,57.492333333,18.0675
505,57.631166667,18.262666667
506,57.83,18.44
507,57.933333333,18.75
508,57.933333333,19.029166667
509,58.098333333,19.362666667
510,58.371666667,19.151666667
511,58.59,19.143333333
512,58.673833333,17.867
513,58.860666667,18.181666667
514,58.913333333,18.398333333
515,58.93,18.515
516,58.935833333,19.159666667
517,59.044,18.650166667
518,59.037833333,18.798833333
519,59.140666667,18.948333333
520,59.155,19.126166667
521,59.251,19.012833333
522,59.415,19.614833333
523,59.6595,19.859666667
524,58.953666667,18.042333333
525,59.018,18.051333333
526,59.0405,18.162166667
527,59.080833333,18.204333333
529,58.778333333,17.849
530,58.731,17.8745
531,58.790666667,17.963666667
532,58.823166667,17.946
533,58.857,18.007
534,58.909333333,18.077
535,58.948666667,18.1535
536,59.007333333,18.252333333
537,59.071,18.303666667
538,59.109833333,18.387166667
539,59.205166667,18.41
540,59.268333333,18.387666667
541,58.999333333,18.402833333
542,59.115,18.619666667
543,59.162833333,18.801
544,59.203666667,18.756833333
545,59.295,18.890166667
546,59.349,18.986333333
547,59.3475,19.1375
548,59.446,19.155333333
549,59.5265,19.339333333
550,59.706333333,19.563166667
551,59.155333333,18.555
552,59.206666667,18.567333333
553,59.277666667,18.716
554,59.242666667,18.627666667
555,59.301666667,18.701
556,59.412,18.903166667
557,59.459,19.004
558,59.498666667,18.993333333
559,59.510333333,19.097333333
560,59.597333333,19.129333333
561,59.6615,19.165666667
562,59.758666667,19.3165
563,59.429166667,19.347333333
564,59.49,19.701333333
566,59.394,18.610333333
567,59.4395,18.682666667
568,59.426,18.835
569,59.508333333,18.816
570,59.577333333,18.845833333
571,59.480666667,18.711
577,59.371,18.746
578,59.372,18.610833333
579,59.423,18.515833333
580,59.444166667,18.386833333
581,59.473666667,18.498833333
582,59.522166667,18.522
583,59.578166667,18.684666667
584,59.6355,18.860333333
585,59.679333333,18.983666667
586,59.712,19.076
587,59.772333333,19.117166667
588,59.777333333,19.056666667
589,59.8435,18.992
590,59.838833333,19.086
591,59.892,19.077166667
592,60.038333333,18.866666667
617,60.175666667,18.828
619,60.110833333,18.773333333
620,60.145,18.636666667
621,60.171666667,18.483166667
624,60.223166667,18.730166667
626,60.237666667,18.6375
627,60.275,18.93
629,60.307666667,19.030166667
631,60.304333333,18.536333333
633,60.357,18.8825
635,60.368833333,18.397833333
636,60.4285,19.082166667
637,60.431833333,18.883833333
639,60.467,18.930833333
641,60.464666667,18.328833333
642,60.546333333,18.73
644,60.551833333,18.370166667
645,60.558,18.178
647,60.6285,18.36
648,60.6425,18.0195
649,60.606,17.7675
650,60.646,17.698833333
652,60.656833333,17.400333333
653,60.695333333,17.240666667
654,60.7115,17.278333333
655,60.699333333,17.329
656,60.706333333,17.597666667
657,60.702833333,17.868333333
659,60.736166667,17.331166667
661,60.7825,17.453833333
662,60.806166667,17.365666667
664,60.878,17.918666667
665,60.910333333,18.4465
667,60.923833333,17.378666667
668,60.957333333,17.257833333
670,60.968166667,18.607
671,60.977666667,18.1285
672,60.997,17.3075
674,61.0205,17.200833333
675,61.042166667,17.259
677,61.093166667,17.233333333
678,61.113833333,17.346666667
680,61.168833333,17.3555
681,61.202666667,17.1535
683,61.2485,18.4565
685,61.265666667,17.246666667
686,61.276333333,17.397
687,61.298166667,17.129833333
689,61.328166667,17.295666667
690,61.353,17.366166667
692,61.390333333,17.191666667
693,61.4695,17.195333333
695,61.541166667,17.1145
696,61.5425,17.476833333
697,61.546166667,17.358833333
698,61.567333333,17.2525
699,61.579666667,17.124
700,61.600333333,17.477666667
702,61.624166667,17.213666667
704,61.649666667,17.371666667
705,61.6645,17.274
706,61.704,17.344166667
707,61.71,17.236833333
708,61.7165,17.1335
709,61.719666667,17.567333333
710,61.728,17.418
712,61.8155,17.421833333
